sample_name	lib_code	folder
Droc_ARM_001	D1_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_002	D2_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_003	D3_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_004	D4_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_005	D5_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_006	D6_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_007	D7_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_008	D8_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_009	D9_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_010	D10_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_011	D11_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_012	D12_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_013	D13_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_014	D14_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_015	D15_new	GENICA/Droc/A01975_441_A01975_432
Droc_ARM_016	D17_new	DRYAS/Dryas_project/20230707-Dryas_ancient_samples_shotgun_NEW_SAMPLING2022_run_A01975_142/RAWS
Droc_ARM_017	D18_new	DRYAS/Dryas_project/20230707-Dryas_ancient_samples_shotgun_NEW_SAMPLING2022_run_A01975_142/RAWS
